lon;lat
-46,147923;-22,756362
-43,649395;-22,793505
-45,984158;-14,823644
-56,842872;-16,833949
-40,735833;-4,253889
-40,735833;-4,253889
-46,761121;-18,248107
-42,17;-12,673611
-46,094684;-15,429539
-43,233611;-22,980833
-56,050561;-17,902367
-56,054042;-17,895936
-44,775389;-3,462194
-53,286167;-29,456
-39,578333;-16,349722
-42,17;-12,673611
-41,080833;-21,381667
-50,269444;-24,549444
-56,736423;-17,318797
-54,574722;-25,518611
-37,283707;-11,080551
-43,549167;-22,888763
-43,550217;-22,888953
-55,161613;-17,212914
-54,291111;-24,039722
-38,968333;-12,198333
-38,970278;-12,036111
-40,305556;-12,5175
-40,9175;-11,643889
-38,970278;-12,201389
-39,7025;-12,738889
-40,185972;-8,808111
-36,768611;-8,317778
-47,509639;-23,524528
-39,577778;-16,348889
-37,1275;-7,844444
-34,948056;-8,057778
-62,136944;-9,120556
-62,133889;-9,770556
-62,131111;-9,769167
-62,015278;-9,771667
-62,028333;-9,773056
-62,085833;-9,748056
-62,925;-9,162778
-63,011111;-9,202222
-63,105278;-9,148889
-63,108056;-9,144444
-63,101389;-9,136389
-62,222778;-8,84
-62,171389;-9,0775
-62,1725;-9,081389
-62,173611;-9,096667
-62,949722;-8,632222
-62,928056;-8,635556
-62,928056;-8,635555
-63,011111;-9,202222
-62,942222;-8,635833
-63,108056;-9,144444
-62,028333;-9,773056
-62,222778;-8,84
-62,1725;-9,081389
-63,101389;-9,136389
-62,171389;-9,0775
-62,085833;-9,748055
-62,925;-9,162778
-62,015278;-9,771667
-62,949722;-8,632222
-63,105278;-9,148889
-62,133889;-9,770556
-62,131111;-9,769167
-62,173611;-9,096667
-62,136944;-9,120556
-43,577621;-22,94881
-43,577626;-22,948974
-51,722222;-17,923611
-50,425278;-16,113333
-43,577318;-22,946948
-51,722222;-17,923611
-48,871667;-25,490556
-39,763333;-12,7225
-39,763333;-12,7225
-39,854444;-12,865833
-39,684722;-12,685278
-39,108333;-12,668333
-48,871667;-25,490555
-43,236111;-22,911389
-41,605833;-21,798889
-43,082332;-22,554882
-53,425;-24,190833
-43,409456;-22,77947
-46,503455;-23,68327
-46,701787;-23,542425
-41,082222;-21,410278
-43,587495;-22,981358
-43,587475;-22,981353
-42,031364;-22,978788
-41,885617;-22,762408
-54,446133;-25,683464
-43,403112;-22,940242
-41,883345;-22,755328
-41,331667;-12,485
-41,322778;-12,493611
-39,874167;-12,290556
-41,423333;-13,285556
-39,874167;-12,290278
-38,210689;-6,390317
-54,575556;-25,530833
-48,981424;-26,24736
-48,981328;-26,247666
-47,834589;-15,875482
-42,584444;-22,930278
-40,613333;-12,507222
-40,613333;-12,5075
-40,613333;-12,607222
-40,613333;-12,6075
-40,544011;-9,329975
-40,613056;-12,508333
-37,650117;-7,930708
-37,650117;-7,930708
-37,382017;-7,954967
-54,016192;-24,426783
-40,227778;-8,606944
-40,325278;-8,865278
-41,778163;-22,377289
-43,73574;-22,285713
-43,446972;-22,900047
-46,304972;-22,849103
-43,061603;-22,25397
-54,583056;-25,430833
-47,809527;-15,796088
-43,205868;-22,945693
-47,618992;-22,233533
-46,970846;-23,19187
-49,224816;-16,646856
-37,306914;-8,463487
-37,546848;-8,498769
-38,460721;-6,043613
-38,855627;-6,660625
-62,994889;-9,952231
-49,830853;-15,492121
-48,083447;-14,416555
-48,027247;-14,158872
-47,766672;-15,804594
-38,818889;-12,254167
-38,818889;-12,254167
-38,818889;-12,254167
-43,215955;-22,933318
-47,633836;-22,450964
-48,709492;-16,183676
-43,232467;-22,98838
-48,083533;-14,416517
-47,2563;-13,813333
-49,276111;-14,1975
-49,276111;-14,1975
-46,713333;-8,728611
-44,190833;-23,180278
-38,818889;-12,820833
-49,276111;-14,1975
-49,276111;-14,1975
-49,276111;-14,1975
-47,608917;-15,453479
-47,608917;-15,453479
-47,83146;-15,870329
-47,608917;-15,453479
-49,143133;-25,55124
-47,608917;-15,453479
-47,608917;-15,453479
-47,608917;-15,453479
-47,857697;-15,763436
-47,608917;-15,453479
-47,828709;-15,861407
-47,608917;-15,453479
-51,959222;-24,369111
-51,556331;-21,457698
-55,701489;-15,67237
-54,716412;-2,418473
-42,838368;-22,382836
-56,133498;-15,095154
-46,993757;-22,946757
-46,906618;-22,757556
-51,959167;-24,369167
-54,572222;-25,436667
-63,662222;-10,790278
-72,397383;-7,773697
-57,941889;-17,0815
-56,438889;-15,655556
-51,959167;-24,369167
-51,959167;-24,368889
-43,007342;-6,755522
-54,575145;-20,453603
-43,228056;-22,965833
-47,589256;-15,452448
-42,97204;-22,416156
-43,87637;-19,926577
-41,888187;-22,777953
-51,796111;-25,153056
-44,961889;-21,728389
-52,579722;-26,471111
-52,2;-26,46
-53,824167;-16,148333
-36,3877;-10,1423
-46,63;-23,54
-46,63;-23,54
-46,63;-23,54
-46,63;-23,54
-52,579722;-26,471111
-52,579722;-26,471111
-47,898854;-15,698969
-40,15696;-19,144614
-54,646809;-20,47664
-54,6469;-20,47664
-52,2;-26,46
-52,579722;-26,471111
-40,595556;-11,410556
-44,003889;-19,8825
-45,366606;-23,280886
-45,177927;-23,245202
-45,177927;-23,245202
-45,177927;-23,245202
-45,366606;-23,280886
-45,177927;-23,245202
-45,177927;-23,245202
-45,177927;-23,245202
-45,366606;-23,280886
-45,177927;-23,245202
-45,177927;-23,245202
-45,177927;-23,245202
-45,177927;-23,245202
-45,177927;-23,245202
-45,177927;-23,245202
-45,366606;-23,280886
