"lat","long","x","y","FID"
-9.590556,-61.650556,-61.650556,-9.590556,0
-1.811389,-59.264722,-59.264722,-1.811389,0
-16.508128,-56.414653,-56.414653,-16.508128,0
-4.5,-43.74,-43.74,-4.5,0
-4.68,-45.0025,-45.0025,-4.68,0
-1.058139,-46.785028,-46.785028,-1.058139,0
-9.168889,-68.951111,-68.951111,-9.168889,0
-9.291356,-69.586419,-69.586419,-9.291356,0
-1.163083,-46.798306,-46.798306,-1.163083,0
-1.128333,-47.608611,-47.608611,-1.128333,0
-9.956093,-67.87245,-67.87245,-9.956093,0
-5.662222,-50.3575,-50.3575,-5.662222,0
3.680706,-61.807403,-61.807403,3.680706,0
-2.500001,-54.953254,-54.953254,-2.500001,0
-9.899722,-63,-63,-9.899722,0
2.504444,-54.944444,-54.944444,2.504444,0
-11.34,-62.28,-62.28,-11.34,0
-10.264444,-63,-63,-10.264444,0
-10.8,-62.28,-62.28,-10.8,0
-11.52,-62.46,-62.46,-11.52,0
-2.987325,-55.093745,-55.093745,-2.987325,0
-8.990833,-64.08,-64.08,-8.990833,0
-2.460833,-61.061639,-61.061639,-2.460833,0
-1.487111,-61.588111,-61.588111,-1.487111,0
-1.656111,-61.514667,-61.514667,-1.656111,0
-1.838333,-61.4945,-61.4945,-1.838333,0
-1.936111,-61.292992,-61.292992,-1.936111,0
-1.960028,-61.312278,-61.312278,-1.960028,0
-11.118611,-55.435278,-55.435278,-11.118611,0
-9.103889,-63.2075,-63.2075,-9.103889,0
-10.8,-48.416667,-48.416667,-10.8,0
-11.433225,-61.608864,-61.608864,-11.433225,0
-10.416667,-48.416667,-48.416667,-10.416667,0
-9.586389,-55.917028,-55.917028,-9.586389,0
-14.697222,-56.344444,-56.344444,-14.697222,0
-14.697169,-56.344331,-56.344331,-14.697169,0
-3.049722,-54.93,-54.93,-3.049722,0
-2.2811,-55.051428,-55.051428,-2.2811,0
-10.342778,-56.3555,-56.3555,-10.342778,0
-1.396528,-61.799444,-61.799444,-1.396528,0
-0.602778,-61.80425,-61.80425,-0.602778,0
-2.503889,-54.944722,-54.944722,-2.503889,0
-15.721944,-51.819167,-51.819167,-15.721944,0
-15.131667,-51.669444,-51.669444,-15.131667,0
-14.860556,-51.246944,-51.246944,-14.860556,0
-15.382778,-51.736667,-51.736667,-15.382778,0
-3.2725,-51.796111,-51.796111,-3.2725,0
-9.900972,-56.076944,-56.076944,-9.900972,0
-11.013611,-55.728333,-55.728333,-11.013611,0
-9.977145,-57.829166,-57.829166,-9.977145,0
-9.8498,-57.814176,-57.814176,-9.8498,0
-13.983056,-51.81,-51.81,-13.983056,0
-13.849722,-51.858611,-51.858611,-13.849722,0
-10.034444,-56.173056,-56.173056,-10.034444,0
-10.034556,-56.172944,-56.172944,-10.034556,0
-10.955833,-55.547778,-55.547778,-10.955833,0
-1.066944,-48.33,-48.33,-1.066944,0
-10.416333,-56.590611,-56.590611,-10.416333,0
-11.8525,-55.518056,-55.518056,-11.8525,0
-10.271944,-55.280111,-55.280111,-10.271944,0
-10.295222,-55.287972,-55.287972,-10.295222,0
-7.098889,-47.326666,-47.326666,-7.098889,0
-16.196778,-55.749278,-55.749278,-16.196778,0
-3.080278,-49.015555,-49.015555,-3.080278,0
-3.08,-49.015278,-49.015278,-3.08,0
-3.080222,-49.015444,-49.015444,-3.080222,0
-7.098889,-47.326667,-47.326667,-7.098889,0
-3.080278,-49.015556,-49.015556,-3.080278,0
-3.420278,-55.071944,-55.071944,-3.420278,0
-2.5747,-44.209467,-44.209467,-2.5747,0
-4.138492,-63.383231,-63.383231,-4.138492,0
-3.164056,-44.864494,-44.864494,-3.164056,0
-11.88,-62.1,-62.1,-11.88,0
-12.06,-64.26,-64.26,-12.06,0
-12.42,-61.92,-61.92,-12.42,0
3.1358,-60.8433,-60.8433,3.1358,0
3.2208,-60.8262,-60.8262,3.2208,0
3.1093,-60.8872,-60.8872,3.1093,0
3.1228,-60.8538,-60.8538,3.1228,0
3.0363,-60.8635,-60.8635,3.0363,0
3.01,-60.8848,-60.8848,3.01,0
3.0887,-60.9235,-60.9235,3.0887,0
-3.098511,-61.132717,-61.132717,-3.098511,0
-1.353889,-62.058889,-62.058889,-1.353889,0
-1.354444,-62.059167,-62.059167,-1.354444,0
-9.851944,-58.220278,-58.220278,-9.851944,0
-9.871194,-58.220422,-58.220422,-9.871194,0
-11.862222,-55.478889,-55.478889,-11.862222,0
-7.949564,-61.595342,-61.595342,-7.949564,0
-16.643925,-56.33943,-56.33943,-16.643925,0
-14.488471,-55.686197,-55.686197,-14.488471,0
-2.816556,-44.932722,-44.932722,-2.816556,0
-15.630556,-57.196889,-57.196889,-15.630556,0
-16.562861,-57.556167,-57.556167,-16.562861,0
-10.824444,-55.697778,-55.697778,-10.824444,0
-3.284167,-51.772222,-51.772222,-3.284167,0
-1.057278,-46.785222,-46.785222,-1.057278,0
-16.100278,-57.688889,-57.688889,-16.100278,0
-16.077161,-57.652578,-57.652578,-16.077161,0
-9.899722,-62.28,-62.28,-9.899722,0
-7.679553,-62.595189,-62.595189,-7.679553,0
-10.26,-62.64,-62.64,-10.26,0
-2.443333,-54.708056,-54.708056,-2.443333,0
-9.72,-61.92,-61.92,-9.72,0
-14.405833,-59.425,-59.425,-14.405833,0
-14.728333,-59.930278,-59.930278,-14.728333,0
-15.414167,-55.839944,-55.839944,-15.414167,0
3.0973,-60.8257,-60.8257,3.0973,0
-9.159167,-45.981111,-45.981111,-9.159167,0
-16.465103,-54.578378,-54.578378,-16.465103,0
-3.351111,-51.960556,-51.960556,-3.351111,0
-9.741542,-56.009674,-56.009674,-9.741542,0
-1.884722,-48.765278,-48.765278,-1.884722,0
-3.1775,-51.775,-51.775,-3.1775,0
-16.555056,-57.558278,-57.558278,-16.555056,0
-5.417778,-44.164722,-44.164722,-5.417778,0
-8.495,-63.5628,-63.5628,-8.495,0
3.1065,-60.8233,-60.8233,3.1065,0
0.686389,-61.566111,-61.566111,0.686389,0
1.059167,-61.746667,-61.746667,1.059167,0
-0.258056,-61.844722,-61.844722,-0.258056,0
-13.746389,-60.3625,-60.3625,-13.746389,0
-9.271944,-64.393611,-64.393611,-9.271944,0
-11.405306,-58.756833,-58.756833,-11.405306,0
-9,-69,-69,-9,0
-9,-68,-68,-9,0
-16.406812,-56.669916,-56.669916,-16.406812,0
-16.517758,-56.697429,-56.697429,-16.517758,0
-1.057472,-46.795333,-46.795333,-1.057472,0
-2.599722,-44.276111,-44.276111,-2.599722,0
-9.380556,-71.900278,-71.900278,-9.380556,0
-10.295022,-67.133622,-67.133622,-10.295022,0
-4.728333,-44.326944,-44.326944,-4.728333,0
-1.455556,-48.49,-48.49,-1.455556,0
-1.455833,-48.490278,-48.490278,-1.455833,0
-1.398889,-48.47,-48.47,-1.398889,0
-2.596389,-44.272778,-44.272778,-2.596389,0
-9.366111,-64.848611,-64.848611,-9.366111,0
-0.69,-61.47,-61.47,-0.69,0
-6.326111,-47.934444,-47.934444,-6.326111,0
-1.205556,-47.178056,-47.178056,-1.205556,0
-16.179444,-54.707778,-54.707778,-16.179444,0
-11.855278,-55.505833,-55.505833,-11.855278,0
-11.859444,-55.497778,-55.497778,-11.859444,0
-9.539722,-64.831389,-64.831389,-9.539722,0
-5.6625,-47.625278,-47.625278,-5.6625,0
-9.539722,-64.831388,-64.831388,-9.539722,0
-9.638692,-50.613722,-50.613722,-9.638692,0
-0.928333,-46.670833,-46.670833,-0.928333,0
-12.905278,-46.547222,-46.547222,-12.905278,0
-16.757908,-56.87668,-56.87668,-16.757908,0
-14.36843,-55.624559,-55.624559,-14.36843,0
-16.378801,-56.621429,-56.621429,-16.378801,0
-10.4,-48.359444,-48.359444,-10.4,0
-2.9245,-59.974556,-59.974556,-2.9245,0
-17.610833,-53.261389,-53.261389,-17.610833,0
-7.601944,-47.3275,-47.3275,-7.601944,0
-2.924444,-59.974444,-59.974444,-2.924444,0
-7.142222,-47.754444,-47.754444,-7.142222,0
-7.296944,-47.713055,-47.713055,-7.296944,0
-7.353055,-47.485,-47.485,-7.353055,0
-7.353056,-47.485,-47.485,-7.353056,0
-7.296944,-47.713056,-47.713056,-7.296944,0
-13.148611,-48.22,-48.22,-13.148611,0
-4.205556,-62.1,-62.1,-4.205556,0
-9.665833,-55.214444,-55.214444,-9.665833,0
-9.67,-55.21,-55.21,-9.67,0
-1.848417,-61.59,-61.59,-1.848417,0
-4.891389,-65.302778,-65.302778,-4.891389,0
-2.640833,-44.726944,-44.726944,-2.640833,0
-9.078889,-55.438333,-55.438333,-9.078889,0
-9.679167,-55.438889,-55.438889,-9.679167,0
1.40508,-68.1704,-68.1704,1.40508,0
-15.835056,-56.038694,-56.038694,-15.835056,0
-8.438055,-47.834444,-47.834444,-8.438055,0
1.40508,-68.17044,-68.17044,1.40508,0
1.405,-68.170556,-68.170556,1.405,0
-8.438056,-47.834444,-47.834444,-8.438056,0
1.405083,-68.170433,-68.170433,1.405083,0
-0.928389,-46.670944,-46.670944,-0.928389,0
-7.302222,-47.834444,-47.834444,-7.302222,0
-6.626667,-47.586111,-47.586111,-6.626667,0
-7.566389,-47.366666,-47.366666,-7.566389,0
-7.551667,-47.378888,-47.378888,-7.551667,0
-7.551667,-47.378889,-47.378889,-7.551667,0
-7.566389,-47.366667,-47.366667,-7.566389,0
-7.182494,-47.152619,-47.152619,-7.182494,0
-9.583333,-55.914722,-55.914722,-9.583333,0
-5.417778,-65.576389,-65.576389,-5.417778,0
-5.400833,-65.559167,-65.559167,-5.400833,0
-2.535833,-60.846944,-60.846944,-2.535833,0
-2.843056,-60.474167,-60.474167,-2.843056,0
-9.585833,-55.916667,-55.916667,-9.585833,0
-9.583611,-55.916667,-55.916667,-9.583611,0
-9.59,-55.92,-55.92,-9.59,0
-13.167222,-48.229444,-48.229444,-13.167222,0
-12.834166,-48.213888,-48.213888,-12.834166,0
-8.433611,-47.665556,-47.665556,-8.433611,0
-12.834167,-48.213889,-48.213889,-12.834167,0
-9.918889,-56.015556,-56.015556,-9.918889,0
-14.106111,-52.320278,-52.320278,-14.106111,0
-9.900833,-55.965556,-55.965556,-9.900833,0
-12.735555,-48.219722,-48.219722,-12.735555,0
-12.735556,-48.219722,-48.219722,-12.735556,0
-10.6387,-47.3482,-47.3482,-10.6387,0
-10.406667,-48.173056,-48.173056,-10.406667,0
-12.7975,-48.245833,-48.245833,-12.7975,0
-12.806111,-48.235277,-48.235277,-12.806111,0
-12.809166,-48.236388,-48.236388,-12.809166,0
-12.806111,-48.235278,-48.235278,-12.806111,0
-12.809167,-48.236389,-48.236389,-12.809167,0
-9.58,-55.914444,-55.914444,-9.58,0
-9.580278,-55.915,-55.915,-9.580278,0
-9.58,-55.91,-55.91,-9.58,0
-0.922028,-46.667444,-46.667444,-0.922028,0
-2.75,-42.799722,-42.799722,-2.75,0
-16.145556,-58.010694,-58.010694,-16.145556,0
-3.208056,-43.403333,-43.403333,-3.208056,0
-11.6025,-46.51722,-46.51722,-11.6025,0
-14.258667,-60.310194,-60.310194,-14.258667,0
-12.494444,-48.213611,-48.213611,-12.494444,0
-10.8339,-52.8731,-52.8731,-10.8339,0
-10.55,-46.133333,-46.133333,-10.55,0
-10.583056,-46.495,-46.495,-10.583056,0
-10.3725,-46.524444,-46.524444,-10.3725,0
-10.55,-46.65,-46.65,-10.55,0
-3.7313,-48.29063,-48.29063,-3.7313,0
-13.1,-53.383333,-53.383333,-13.1,0
