"lat","long","x","y"
-11.696389,-61.995556,-61.995556,-11.696389
-4.14,-43.92,-43.92,-4.14
-7.303722,-47.041528,-47.041528,-7.303722
-2.337778,-55.055833,-55.055833,-2.337778
-12.6,-47.88,-47.88,-12.6
-14.694056,-56.33975,-56.33975,-14.694056
-14.694167,-56.339722,-56.339722,-14.694167
-5.579722,-46.439722,-46.439722,-5.579722
-16.375033,-56.619848,-56.619848,-16.375033
-5.76,-46.44,-46.44,-5.76
-5.579722,-46.079722,-46.079722,-5.579722
-5.219722,-44.999722,-44.999722,-5.219722
-5.58,-45.9,-45.9,-5.58
-4.859722,-44.099722,-44.099722,-4.859722
-5.399722,-44.819722,-44.819722,-5.399722
-6.66,-43.938056,-43.938056,-6.66
-5.4,-43.200278,-43.200278,-5.4
-5.219722,-44.819722,-44.819722,-5.219722
-5.219722,-45.36,-45.36,-5.219722
-9.590555,-61.650556,-61.650556,-9.590555
-9.689744,-56.017213,-56.017213,-9.689744
-4.86,-44.28,-44.28,-4.86
-4.5,-43.2,-43.2,-4.5
-5.377778,-43.74,-43.74,-5.377778
-4.5,-43.02,-43.02,-4.5
-5.039722,-43.019722,-43.019722,-5.039722
-4.68,-43.188889,-43.188889,-4.68
-4.905,-43.47,-43.47,-4.905
-4.95,-42.93,-42.93,-4.95
-2.539083,-44.282889,-44.282889,-2.539083
-9.590556,-61.650556,-61.650556,-9.590556
-1.811389,-59.264722,-59.264722,-1.811389
-16.508128,-56.414653,-56.414653,-16.508128
-4.5,-43.74,-43.74,-4.5
-4.68,-45.0025,-45.0025,-4.68
-1.058139,-46.785028,-46.785028,-1.058139
-9.168889,-68.951111,-68.951111,-9.168889
-9.291356,-69.586419,-69.586419,-9.291356
-1.163083,-46.798306,-46.798306,-1.163083
-1.128333,-47.608611,-47.608611,-1.128333
-9.956093,-67.87245,-67.87245,-9.956093
-5.662222,-50.3575,-50.3575,-5.662222
3.680706,-61.807403,-61.807403,3.680706
-2.500001,-54.953254,-54.953254,-2.500001
-9.899722,-63,-63,-9.899722
2.504444,-54.944444,-54.944444,2.504444
-11.34,-62.28,-62.28,-11.34
-10.264444,-63,-63,-10.264444
-10.8,-62.28,-62.28,-10.8
-11.52,-62.46,-62.46,-11.52
-2.987325,-55.093745,-55.093745,-2.987325
-8.990833,-64.08,-64.08,-8.990833
-2.460833,-61.061639,-61.061639,-2.460833
-1.487111,-61.588111,-61.588111,-1.487111
-1.656111,-61.514667,-61.514667,-1.656111
-1.838333,-61.4945,-61.4945,-1.838333
-1.936111,-61.292992,-61.292992,-1.936111
-1.960028,-61.312278,-61.312278,-1.960028
-11.118611,-55.435278,-55.435278,-11.118611
-9.103889,-63.2075,-63.2075,-9.103889
-10.8,-48.416667,-48.416667,-10.8
-11.433225,-61.608864,-61.608864,-11.433225
-10.416667,-48.416667,-48.416667,-10.416667
-9.586389,-55.917028,-55.917028,-9.586389
-14.697222,-56.344444,-56.344444,-14.697222
-14.697169,-56.344331,-56.344331,-14.697169
-3.049722,-54.93,-54.93,-3.049722
-2.2811,-55.051428,-55.051428,-2.2811
-10.342778,-56.3555,-56.3555,-10.342778
-1.396528,-61.799444,-61.799444,-1.396528
-0.602778,-61.80425,-61.80425,-0.602778
-2.503889,-54.944722,-54.944722,-2.503889
-15.721944,-51.819167,-51.819167,-15.721944
-15.131667,-51.669444,-51.669444,-15.131667
-14.860556,-51.246944,-51.246944,-14.860556
-15.382778,-51.736667,-51.736667,-15.382778
-3.2725,-51.796111,-51.796111,-3.2725
-9.900972,-56.076944,-56.076944,-9.900972
-11.013611,-55.728333,-55.728333,-11.013611
-9.977145,-57.829166,-57.829166,-9.977145
-9.8498,-57.814176,-57.814176,-9.8498
-13.983056,-51.81,-51.81,-13.983056
-13.849722,-51.858611,-51.858611,-13.849722
-10.034444,-56.173056,-56.173056,-10.034444
-10.034556,-56.172944,-56.172944,-10.034556
-10.955833,-55.547778,-55.547778,-10.955833
-1.066944,-48.33,-48.33,-1.066944
-10.416333,-56.590611,-56.590611,-10.416333
-11.8525,-55.518056,-55.518056,-11.8525
-10.271944,-55.280111,-55.280111,-10.271944
-10.295222,-55.287972,-55.287972,-10.295222
-7.098889,-47.326666,-47.326666,-7.098889
-16.196778,-55.749278,-55.749278,-16.196778
-3.080278,-49.015555,-49.015555,-3.080278
-3.08,-49.015278,-49.015278,-3.08
-3.080222,-49.015444,-49.015444,-3.080222
-7.098889,-47.326667,-47.326667,-7.098889
-3.080278,-49.015556,-49.015556,-3.080278
-3.420278,-55.071944,-55.071944,-3.420278
-2.5747,-44.209467,-44.209467,-2.5747
-4.138492,-63.383231,-63.383231,-4.138492
-3.164056,-44.864494,-44.864494,-3.164056
-11.88,-62.1,-62.1,-11.88
