lon;lat
-56,043611;-10,595833
-54,600556;-10,425
-49,213333;-27,125833
-56,355278;-10,343361
-49,213333;-27,125833
-55,598611;-10,998889
-56,355278;-10,343333
-44,333333;-13,666667
-56,280556;-16,588611
-56,280556;-16,588611
-55,992889;-9,918556
-51,491673;-22,780443
-47,27937;-22,76544
-53,874722;-25,220444
-51,816389;-3,27
-53,522778;-25,131389
-53,874722;-25,220556
-47,82393;-22,7782
-44,970558;-21,227444
-40,693611;-19,800278
-40,693611;-19,800278
-54,479444;-25,626
-44,241139;-15,107583
-44,241028;-15,107639
-44,241028;-15,107444
-44,241056;-15,107583
-44,2415;-15,107667
-54,479444;-25,626111
-47;-15
-47;-15
-47;-15
-47;-15
-47;-15
-47;-15
-54,479444;-25,626111
-42;-20
-38,185;-10,703056
-38,110556;-10,421111
-46,731111;-23,541389
-48,411389;-1,418056
-47,28548;-22,75644
-54,0275;-25,268889
-56,083333;-9,916667
-54,241667;-25,288889
-56,083333;-9,916667
-47,187778;-18,49
-54,241667;-25,288889
-40,572778;-18,645555
-60,011388;-14,943611
-60,011389;-14,943611
-40,945556;-3,836111
-60,011389;-14,943611
-60,011389;-14,943611
-40,945556;-3,836111
-37,893889;-9,312222
-55,044333;-10,632667
-55,044444;-10,632778
-53,870278;-25,3025
-39,225938;-13,484172
-37,893889;-9,312222
-39,383161;-13,811589
-53,870278;-25,325
-39,383056;-13,811667
-53,870278;-25,325
-49,694722;-26,3675
-49,686111;-26,3675
-40,184278;-8,151
-51,966389;-29,501944
-48,680833;-28,104722
-55,737444;-10,775806
-37,278056;-9,917222
-37,278056;-9,917222
-55,7375;-10,775833
-38,755278;-8,444167
-38,755278;-8,444167
-39,25;-8,722222
-39,239444;-13,319722
-57,546222;-16,570556
-38,755278;-8,760833
-38,755222;-8,44425
-53,955556;-25,306944
-47,187777;-18,49
-41,553889;-21,553889
-41,553889;-21,553889
-47,187778;-18,44
-38,309167;-11,189722
-38,183333;-10,708333
-55,491111;-11,001389
-41,331389;-21,331389
-47,111667;-18,2625
-47,187778;-18,49
-47,187778;-18,49
-55,491111;-11,013333
-39,100361;-7,074861
-64,23;-12,441944
-64,23;-12,441944
-64,23;-12,441944
-64,23;-12,441944
-40,679722;-15,299722
-47,598389;-21,729278
-47,598139;-21,729056
-47,598917;-21,728944
-47,598028;-21,729194
-47,606389;-21,721722
-47,599778;-21,728167
-47,595806;-21,719528
-47,595778;-21,719194
-47,600139;-21,728111
-47,602528;-21,726528
-41,448056;-21,797222
-38,579444;-7,407778
-38,579472;-7,407833
-51,882222;-3,383889
-39,240278;-14,939722
-55,500278;-20,456389
-55,658889;-20,435833
-40,130556;-14,448611
-40,130556;-14,448611
